data;ruota;n1;n2;n3;n4;n5
07/01/1939;BA;58;22;47;49;69
07/01/1939;FI;27;57;81;43;61
07/01/1939;MI;40;38;57;67;7
07/01/1939;NA;85;44;48;88;55
07/01/1939;PA;73;80;39;38;57
07/01/1939;RO;73;24;4;39;22
07/01/1939;TO;19;43;10;31;27
07/01/1939;VE;9;43;61;14;75
14/01/1939;BA;18;77;33;62;19
14/01/1939;FI;31;47;12;7;80
14/01/1939;MI;35;24;52;90;41
14/01/1939;NA;4;10;36;63;35
14/01/1939;PA;10;77;43;37;35
14/01/1939;RO;4;86;61;84;58
14/01/1939;TO;82;7;15;88;34
14/01/1939;VE;85;21;45;65;56
21/01/1939;BA;68;65;41;28;67
21/01/1939;FI;37;82;69;9;67
21/01/1939;MI;37;23;12;19;27
21/01/1939;NA;15;76;82;11;55
21/01/1939;PA;29;8;44;69;28
21/01/1939;RO;36;74;7;70;76
21/01/1939;TO;36;41;43;35;40
21/01/1939;VE;76;85;50;42;22
28/01/1939;BA;76;55;48;85;71
28/01/1939;FI;24;40;12;77;30
28/01/1939;MI;47;85;18;38;50
28/01/1939;NA;73;34;8;39;17
28/01/1939;PA;52;25;63;84;60
28/01/1939;RO;56;87;82;90;53